Year;RGIID;BREID;DateMinPrevYear;DateMax;DateMin;Area;Bw;Bs;Ba;Bcalv
2002;RGI60-08.01286;2478;20.09.2001;08.05.2002;07.10.2002;10.629;2.11;-4.09;-1.99;-4.166
2003;RGI60-08.01286;2478;01.10.2002;02.06.2003;20.09.2003;10.629;1.60;-4.06;-2.45;-5.001
2004;RGI60-08.01286;2478;20.09.2003;13.05.2004;30.09.2004;10.629;1.61;-2.56;-0.95;-2.833
2005;RGI60-08.01286;2478;30.09.2004;15.06.2005;17.10.2005;10.629;2.84;-2.77;0.08;-5.096
2006;RGI60-08.01286;2478;17.10.2005;05.05.2006;11.10.2006;10.629;1.33;-3.36;-2.03;-1.008
2007;RGI60-08.01286;2478;11.10.2006;03.05.2007;27.09.2007;10.629;2.48;-2.28;0.20;-2.987
2008;RGI60-08.01286;2478;27.09.2007;22.05.2008;30.10.2008;10.629;2.39;-2.49;-0.10;-3.69
2009;RGI60-08.01286;2478;30.10.2008;15.05.2009;13.10.2009;10.629;1.91;-2.65;-0.74;-3.59
2010;RGI60-08.01286;2478;13.10.2009;01.06.2010;09.10.2010;10.629;1.02;-3.05;-2.03;-2.678
2011;RGI60-08.01286;2478;09.10.2010;04.05.2011;13.10.2011;10.629;1.82;-3.26;-1.44;-3.67
2012;RGI60-08.01286;2478;13.10.2011;10.05.2012;11.10.2012;10.629;2.68;-1.91;0.77;-1.9
2013;RGI60-08.01286;2478;11.10.2012;29.05.2013;25.09.2013;10.629;1.61;-3.24;-1.63;-3.06
2014;RGI60-08.01286;2478;25.09.2013;24.04.2014;02.10.2014;10.629;2.14;-3.50;-1.36;-2.39
2015;RGI60-08.01286;2478;02.10.2014;21.05.2015;14.10.2015;10.032;2.53;-1.81;0.72;-1.49
2016;RGI60-08.01286;2478;14.10.2015;12.05.2016;05.10.2016;10.032;2.01;-3.06;-1.05;-1.07
2017;RGI60-08.01286;2478;05.10.2016;10.05.2017;05.10.2017;10.032;2.43;-2.24;0.19;-1.779
2018;RGI60-08.01286;2478;05.10.2017;07.05.2018;26.10.2018;10.032;1.93;-3.46;-1.53;-3.959
2019;RGI60-08.01286;2478;26.10.2018;30.04.2019;25.09.2019;10.122;1.59;-2.80;-1.21;-2.036
2020;RGI60-08.01286;2478;25.09.2019;21.04.2020;13.10.2020;10.122;2.91;-2.11;0.80;-0.304
2021;RGI60-08.01286;2478;13.10.2020;16.04.2021;28.09.2021;10.122;1.58;-3.36;-1.78;-1.713
2022;RGI60-08.01286;2478;28.09.2021;26.04.2022;20.09.2022;10.122;2.20;-2.24;-0.04;-0.523
1997;RGI60-08.01217;2514;14.09.1996;19.05.1997;24.09.1997;13.17;2.18;-2.74;-0.56;
1998;RGI60-08.01217;2514;24.09.1997;15.05.1998;23.09.1998;13.17;1.65;-1.65;0.00;
1999;RGI60-08.01217;2514;23.09.1998;08.05.1999;30.09.1999;13.17;1.78;-2.15;-0.37;
2000;RGI60-08.01217;2514;30.09.1999;29.04.2000;13.09.2000;13.17;2.29;-1.72;0.58;
2001;RGI60-08.01217;2514;13.09.2000;07.05.2001;19.09.2001;13.17;1.00;-2.24;-1.24;
1988;NA;2527;;27.04.1988;18.10.1988;27.935;1.63;-3.10;-1.46;
1989;NA;2527;18.10.1988;20.04.1989;11.10.1989;27.935;2.76;-1.62;1.14;
1990;NA;2527;11.10.1989;02.05.1990;19.10.1990;27.935;3.34;-2.33;1.02;
1991;NA;2527;19.10.1990;30.04.1991;28.09.1991;27.935;1.40;-1.37;0.03;
2010;RGI60-08.00868;2597;;19.05.2010;09.10.2010;0.171;0.67;-3.92;-3.25;
1962;NA;2632;;01.05.1962;01.09.1962;5.9;2.03;-1.28;0.75;
1963;NA;2632;01.01.1962;01.05.1963;01.09.1963;5.9;1.24;-2.46;-1.22;
1949;NA;2636;;01.05.1949;01.09.1949;5.73;2.28;-2.08;0.20;
1950;NA;2636;;01.01.1950;01.09.1950;5.73;1.52;-1.81;-0.29;
1951;NA;2636;;01.01.1951;01.09.1951;5.73;1.13;-1.67;-0.54;
1952;NA;2636;;01.01.1952;01.09.1952;5.73;1.44;-1.13;0.31;
1953;NA;2636;;01.01.1953;01.09.1953;5.73;1.40;-2.25;-0.85;
1954;NA;2636;;01.01.1954;01.09.1954;5.73;1.21;-1.98;-0.77;
1955;NA;2636;;01.05.1955;01.09.1955;5.73;1.57;-2.06;-0.49;
1956;NA;2636;;01.05.1956;01.09.1956;5.73;1.31;-1.48;-0.17;
1957;NA;2636;;01.05.1957;01.09.1957;5.73;1.42;-1.37;0.05;
1958;NA;2636;;01.05.1958;01.09.1958;5.73;1.54;-1.62;-0.08;
1959;NA;2636;;01.05.1959;01.09.1959;5.73;1.07;-2.35;-1.28;
1960;NA;2636;;01.05.1960;01.09.1960;5.73;0.98;-2.07;-1.09;
1961;NA;2636;;01.01.1961;01.09.1961;5.73;1.10;-1.62;-0.52;
1962;NA;2636;;01.01.1962;01.09.1962;5.73;1.54;-0.82;0.72;
1963;NA;2636;;01.01.1963;01.09.1963;5.73;0.96;-2.14;-1.18;
1964;NA;2636;;01.01.1964;01.09.1964;5.73;1.16;-0.95;0.21;
1965;NA;2636;;01.01.1965;01.09.1965;5.73;1.54;-1.20;0.34;
1966;NA;2636;;01.01.1966;01.09.1966;5.73;1.25;-1.86;-0.61;
1967;NA;2636;;12.05.1967;16.09.1967;5.73;1.89;-1.17;0.72;
1968;NA;2636;;10.05.1968;18.10.1968;5.6;1.64;-1.59;0.05;
1969;NA;2636;;22.05.1969;20.09.1969;5.6;1.22;-2.64;-1.42;
1970;NA;2636;;01.05.1970;13.09.1970;5.6;0.97;-1.69;-0.72;
1971;NA;2636;;01.01.1971;01.09.1971;5.6;1.46;-1.28;0.18;
1972;NA;2636;;01.01.1972;01.09.1972;5.6;1.39;-1.70;-0.31;
1973;NA;2636;;01.01.1973;01.09.1973;5.6;1.48;-1.40;0.08;
1974;NA;2636;;01.01.1974;01.09.1974;5.6;1.26;-1.02;0.24;
1975;NA;2636;;01.01.1975;01.09.1975;5.6;1.55;-1.70;-0.15;
1976;NA;2636;;01.01.1976;01.09.1976;5.6;1.81;-1.90;-0.09;
1977;NA;2636;;01.01.1977;01.09.1977;5.6;0.94;-1.48;-0.54;
1978;NA;2636;;01.01.1978;01.09.1978;5.6;1.26;-1.70;-0.44;
1979;NA;2636;;01.01.1979;01.09.1979;5.6;1.55;-1.45;0.10;
1980;NA;2636;;01.01.1980;01.09.1980;5.6;0.99;-2.30;-1.31;
1981;NA;2636;;01.01.1981;01.09.1981;5.6;1.30;-1.40;-0.10;
1982;NA;2636;;01.01.1982;01.09.1982;5.6;1.28;-1.75;-0.47;
1983;NA;2636;;01.01.1983;01.09.1983;5.6;1.90;-1.70;0.20;
1984;NA;2636;;02.01.1984;01.09.1984;5.35;1.70;-2.00;-0.30;
1985;NA;2636;;01.01.1985;01.09.1985;5.35;1.20;-1.60;-0.40;
1986;NA;2636;;01.01.1986;01.09.1986;5.35;1.05;-1.37;-0.32;
1987;NA;2636;;01.01.1987;01.01.1987;5.26;1.55;-1.23;0.32;
1988;NA;2636;;13.05.1988;07.09.1988;5.26;1.45;-2.40;-0.95;
1989;NA;2636;07.09.1988;14.05.1989;23.09.1989;5.26;2.30;-1.10;1.20;
1990;NA;2636;01.10.1989;19.05.1990;01.10.1990;5.25;2.60;-1.34;1.25;
1991;NA;2636;01.10.1990;19.05.1991;01.10.1991;5.35;1.28;-1.35;-0.07;
1992;NA;2636;01.10.1991;16.04.1992;14.10.1992;5.35;1.62;-1.49;0.13;
1993;NA;2636;14.10.1992;01.05.1993;17.09.1993;5.35;1.82;-1.01;0.81;
1994;NA;2636;17.09.1993;25.05.1994;10.10.1994;5.35;1.53;-1.74;-0.21;
1995;NA;2636;10.10.1994;29.05.1995;14.09.1995;5.35;1.79;-1.89;-0.10;
1996;NA;2636;13.09.1995;10.05.1996;27.09.1996;5.35;0.83;-1.80;-0.97;
1997;NA;2636;27.09.1996;20.05.1997;14.10.1997;5.35;1.77;-2.74;-0.96;
1998;NA;2636;14.10.1997;16.05.1998;22.09.1998;5.35;1.55;-1.33;0.22;
1999;NA;2636;22.09.1998;10.05.1999;21.09.1999;5.35;1.67;-1.90;-0.24;
2000;NA;2636;22.09.1999;10.05.2000;21.09.2000;5.35;2.04;-1.49;0.55;
2001;NA;2636;21.09.2000;06.05.2001;26.09.2001;5.35;1.04;-1.32;-0.28;
2002;NA;2636;26.09.2001;06.05.2002;20.09.2002;5.35;1.09;-2.87;-1.79;
2003;NA;2636;20.09.2002;15.05.2003;28.09.2003;5.142;1.07;-2.78;-1.72;
2004;NA;2636;28.09.2003;12.05.2004;14.09.2004;5.142;0.97;-1.71;-0.74;
2005;NA;2636;14.09.2004;12.05.2005;30.09.2005;5.142;1.77;-2.04;-0.23;
2006;NA;2636;30.09.2005;09.05.2006;09.09.2006;5.142;0.81;-3.08;-2.27;
2007;NA;2636;09.09.2006;03.05.2007;18.09.2007;5.142;1.30;-1.81;-0.51;
2008;NA;2636;18.09.2007;07.05.2008;01.09.2008;5.142;1.90;-2.01;-0.10;
2009;NA;2636;01.09.2008;13.05.2009;17.09.2009;5.142;1.60;-1.83;-0.22;
2010;NA;2636;17.09.2009;05.05.2010;28.09.2010;5.142;0.79;-2.55;-1.76;
2011;NA;2636;28.09.2010;04.05.2011;13.09.2011;5.142;0.99;-2.57;-1.58;
2012;NA;2636;13.09.2011;03.05.2012;16.10.2012;5.142;1.68;-1.62;0.06;
2013;NA;2636;16.10.2012;07.05.2013;12.09.2013;5.142;1.31;-2.47;-1.16;
2014;NA;2636;12.09.2013;14.05.2014;18.09.2014;5.142;1.57;-2.74;-1.17;
2015;NA;2636;18.09.2014;14.05.2015;09.09.2015;5.142;1.52;-1.03;0.49;
2016;NA;2636;09.09.2015;15.05.2016;12.09.2016;5.142;1.10;-1.91;-0.80;
2017;NA;2636;12.09.2016;02.05.2017;27.09.2017;5.142;1.17;-1.69;-0.52;
2018;NA;2636;27.09.2017;07.05.2018;16.10.2018;5.142;1.27;-3.24;-1.97;
2019;NA;2636;16.10.2018;08.05.2019;23.09.2019;4.876;1.02;-2.54;-1.52;
2020;NA;2636;23.09.2019;22.04.2020;18.09.2020;4.876;1.93;-1.98;-0.05;
2021;NA;2636;18.09.2020;27.04.2021;26.09.2021;4.876;1.37;-3.04;-1.67;
2022;NA;2636;26.09.2021;21.04.2022;29.09.2022;4.876;1.35;-2.03;-0.68;
1962;RGI60-08.00987;2743;01.01.1961;01.05.1962;01.09.1962;2.36;0.86;-0.09;0.77;
1963;RGI60-08.00987;2743;01.09.1962;01.06.1963;20.08.1963;2.364;0.40;-1.11;-0.71;
1964;RGI60-08.00987;2743;20.08.1963;21.06.1964;01.10.1964;2.264;0.36;-0.71;-0.35;
1965;RGI60-08.00987;2743;01.10.1964;07.04.1965;08.09.1965;2.386;0.76;-0.36;0.41;
1966;RGI60-08.00987;2743;08.09.1965;12.06.1966;04.09.1966;2.386;0.72;-1.01;-0.28;
1967;RGI60-08.00987;2743;04.09.1966;05.06.1967;08.10.1967;2.386;1.45;-0.74;0.71;
1968;RGI60-08.00987;2743;08.10.1967;15.04.1968;15.09.1968;2.527;1.03;-1.11;-0.08;
1969;RGI60-08.00987;2743;15.09.1968;05.06.1969;06.10.1969;2.527;0.70;-2.05;-1.36;
1970;RGI60-08.00987;2743;06.10.1969;30.03.1970;01.09.1970;2.527;0.57;-1.24;-0.66;
1971;RGI60-08.00987;2743;23.09.1970;06.05.1971;18.09.1971;2.525;0.50;-0.97;-0.47;
1972;RGI60-08.00987;2743;18.09.1971;30.05.1972;03.09.1972;2.525;0.66;-1.30;-0.64;
1973;RGI60-08.00987;2743;03.09.1972;29.05.1973;04.10.1973;2.525;0.72;-1.61;-0.89;
1974;RGI60-08.00987;2743;04.10.1973;10.05.1974;24.09.1974;2.494;0.59;-0.24;0.34;
1975;RGI60-08.00987;2743;24.09.1974;26.05.1975;12.10.1975;2.518;0.91;-1.86;-0.95;
1976;RGI60-08.00987;2743;12.10.1975;22.04.1976;17.11.1976;2.518;0.62;-1.62;-1.00;
1977;RGI60-08.00987;2743;17.11.1976;05.05.1977;24.09.1977;2.518;0.51;-0.90;-0.39;
1978;RGI60-08.00987;2743;24.09.1977;26.04.1978;06.09.1978;2.518;0.67;-0.89;-0.22;
1979;RGI60-08.00987;2743;06.09.1978;11.05.1979;01.10.1979;2.518;0.91;-0.87;0.04;
1980;RGI60-08.00987;2743;01.10.1979;06.05.1980;05.09.1980;2.058;0.43;-1.32;-0.89;
1981;RGI60-08.00987;2743;05.09.1980;02.05.1981;14.08.1981;2.058;0.60;-0.79;-0.19;
1982;RGI60-08.00987;2743;14.08.1981;01.05.1982;01.10.1982;2.058;0.50;-1.01;-0.51;
1983;RGI60-08.00987;2743;01.10.1982;01.05.1983;01.10.1983;2.058;0.92;-0.98;-0.05;
1984;RGI60-08.00987;2743;01.10.1983;26.04.1984;15.09.1984;2.256;0.98;-1.35;-0.37;
1985;RGI60-08.00987;2743;15.09.1984;09.05.1985;01.10.1985;2.256;0.76;-0.76;0.00;
1986;RGI60-08.00987;2743;01.10.1985;06.05.1986;10.10.1986;2.256;0.42;-1.18;-0.76;
1987;RGI60-08.00987;2743;10.10.1986;12.05.1987;01.10.1987;2.256;0.95;-0.24;0.71;
1988;RGI60-08.00987;2743;01.10.1987;30.04.1988;18.09.1988;2.256;1.08;-1.68;-0.60;
1989;RGI60-08.00987;2743;18.09.1988;12.05.1989;01.10.1989;2.256;1.12;-0.67;0.45;
1990;RGI60-08.00987;2743;01.10.1989;05.05.1990;23.09.1990;2.256;1.32;-0.61;0.72;
1991;RGI60-08.00987;2743;23.09.1990;09.05.1991;04.10.1991;2.255;0.67;-1.20;-0.53;
1992;RGI60-08.00987;2743;04.10.1991;05.05.1992;15.09.1992;2.255;0.70;-0.78;-0.08;
1993;RGI60-08.00987;2743;15.09.1992;16.04.1993;20.09.1993;2.255;0.93;-0.51;0.42;
1994;RGI60-08.00987;2743;20.09.1993;06.05.1994;13.10.1994;2.255;1.18;-1.17;0.01;
1995;RGI60-08.00987;2743;13.10.1994;27.05.1995;17.09.1995;2.255;1.20;-1.30;-0.11;
1996;RGI60-08.00987;2743;17.09.1995;14.05.1996;18.09.1996;2.255;0.53;-0.98;-0.45;
1997;RGI60-08.00987;2743;18.09.1996;18.05.1997;27.09.1997;2.255;0.71;-2.39;-1.68;
1998;RGI60-08.00987;2743;27.09.1997;30.05.1998;25.09.1998;2.255;0.79;-0.68;0.11;
1999;RGI60-08.00987;2743;25.09.1998;16.05.1999;25.09.1999;2.255;0.91;-1.30;-0.40;
2000;RGI60-08.00987;2743;26.09.1999;15.05.2000;21.09.2000;2.255;0.87;-0.92;-0.05;
2001;RGI60-08.00987;2743;21.09.2000;09.05.2001;28.09.2001;2.255;0.80;-0.78;0.02;
2002;RGI60-08.00987;2743;28.09.2001;10.05.2002;25.09.2002;2.255;0.63;-2.05;-1.42;
2003;RGI60-08.00987;2743;25.09.2002;18.05.2003;27.09.2003;2.119;0.44;-1.83;-1.39;
2004;RGI60-08.00987;2743;27.09.2003;16.05.2004;16.09.2004;2.119;0.46;-0.96;-0.49;
2005;RGI60-08.00987;2743;16.09.2004;03.06.2005;28.09.2005;2.119;0.83;-1.32;-0.49;
2006;RGI60-08.00987;2743;28.09.2005;31.05.2006;13.09.2006;2.119;0.50;-2.58;-2.08;
2007;RGI60-08.00987;2743;13.09.2006;05.06.2007;12.09.2007;2.119;0.60;-1.32;-0.72;
2008;RGI60-08.00987;2743;12.09.2007;05.06.2008;16.09.2008;2.119;0.93;-0.85;0.08;
2009;RGI60-08.00987;2743;16.09.2008;15.06.2009;15.09.2009;2.119;0.80;-1.08;-0.28;
2010;RGI60-08.00987;2743;15.09.2009;04.05.2010;28.09.2010;2.119;0.54;-1.60;-1.10;
2011;RGI60-08.00987;2743;27.09.2010;16.05.2011;09.09.2011;2.119;0.65;-1.94;-1.29;
2012;RGI60-08.00987;2743;09.09.2011;18.06.2012;13.09.2012;2.119;0.73;-0.84;-0.11;
2013;RGI60-08.00987;2743;13.09.2012;26.04.2013;13.09.2013;2.119;0.60;-1.41;-0.81;
2014;RGI60-08.00987;2743;13.09.2013;13.05.2014;10.09.2014;2.119;0.89;-2.06;-1.17;
2015;RGI60-08.00987;2743;10.09.2014;28.04.2015;22.09.2015;2.119;0.77;-0.48;0.29;
2016;RGI60-08.00987;2743;22.09.2015;06.06.2016;14.09.2016;2.119;0.76;-1.18;-0.42;
2017;RGI60-08.00987;2743;14.09.2016;14.06.2017;28.09.2017;2.119;0.26;-0.97;-0.71;
2018;RGI60-08.00987;2743;28.09.2017;04.06.2018;16.10.2018;2.119;0.39;-2.21;-1.82;
2019;RGI60-08.00987;2743;16.10.2018;11.06.2019;23.09.2019;1.744;0.27;-1.96;-1.69;
2020;RGI60-08.00987;2743;23.09.2019;20.04.2020;17.09.2020;1.744;0.71;-1.35;-0.64;
2021;RGI60-08.00987;2743;17.09.2020;28.04.2021;26.09.2021;1.744;0.61;-2.15;-1.54;
2022;RGI60-08.00987;2743;26.09.2021;07.06.2022;21.09.2022;1.744;0.50;-2.12;-1.62;
1962;RGI60-08.00449;2768;01.09.1961;15.04.1962;01.09.1962;3.38;1.18;-0.40;0.78;
1963;RGI60-08.00449;2768;01.09.1962;10.04.1963;01.09.1963;3.38;0.93;-1.92;-0.99;
1964;RGI60-08.00449;2768;01.10.1963;05.04.1964;30.10.1964;3.34;0.72;-0.81;-0.09;
1965;RGI60-08.00449;2768;30.10.1964;09.04.1965;07.09.1965;3.34;1.30;-0.75;0.55;
1966;RGI60-08.00449;2768;07.09.1965;23.05.1966;04.09.1966;3.34;0.96;-1.59;-0.63;
1967;RGI60-08.00449;2768;10.10.1966;03.06.1967;04.10.1967;3.34;1.50;-0.90;0.60;
1968;RGI60-08.00449;2768;04.10.1967;15.04.1968;17.09.1968;3.34;1.40;-1.47;-0.08;
1969;RGI60-08.00449;2768;17.09.1968;07.05.1969;20.09.1969;3.34;0.96;-2.20;-1.24;
1970;RGI60-08.00449;2768;20.09.1969;03.04.1970;01.09.1970;3.34;0.70;-1.67;-0.96;
1971;RGI60-08.00449;2768;28.10.1970;03.05.1971;21.10.1971;3.34;1.12;-1.24;-0.11;
1972;RGI60-08.00449;2768;21.10.1971;24.04.1972;09.11.1972;3.34;0.94;-1.42;-0.48;
1973;RGI60-08.00449;2768;09.11.1972;22.05.1973;02.10.1973;3.34;1.20;-1.41;-0.21;
1974;RGI60-08.00449;2768;02.10.1973;09.05.1974;23.09.1974;3.059;1.01;-0.73;0.29;
1975;RGI60-08.00449;2768;23.09.1974;26.05.1975;13.10.1975;3.059;1.36;-1.69;-0.34;
1976;RGI60-08.00449;2768;13.10.1975;16.05.1976;16.11.1976;3.059;1.15;-1.87;-0.72;
1977;RGI60-08.00449;2768;16.11.1976;03.05.1977;25.09.1977;3.059;0.69;-1.37;-0.69;
1978;RGI60-08.00449;2768;25.09.1977;26.04.1978;05.09.1978;3.059;1.06;-1.55;-0.48;
1979;RGI60-08.00449;2768;05.09.1978;10.05.1979;01.10.1979;3.059;1.44;-1.43;0.01;
1980;RGI60-08.00449;2768;01.10.1979;26.04.1980;21.09.1980;3.059;0.82;-2.01;-1.20;
1981;RGI60-08.00449;2768;21.09.1980;30.04.1981;17.10.1981;3.059;1.06;-1.40;-0.34;
1982;RGI60-08.00449;2768;17.10.1981;01.05.1982;05.09.1982;3.059;0.85;-1.22;-0.37;
1983;RGI60-08.00449;2768;05.09.1982;05.05.1983;01.09.1983;3.059;1.47;-1.31;0.16;
1984;RGI60-08.00449;2768;01.09.1983;27.04.1984;31.12.1984;3.059;1.22;-1.74;-0.52;
1985;RGI60-08.00449;2768;01.01.1985;09.05.1985;12.09.1985;3.059;1.11;-1.42;-0.31;
1986;RGI60-08.00449;2768;12.09.1985;07.05.1986;10.10.1986;3.059;0.78;-1.28;-0.51;
1987;RGI60-08.00449;2768;10.10.1986;01.05.1987;08.10.1987;3.059;1.15;-0.71;0.44;
1988;RGI60-08.00449;2768;08.10.1987;29.04.1988;16.09.1988;3.059;1.28;-2.33;-1.05;
1989;RGI60-08.00449;2768;16.09.1988;15.05.1989;23.09.1989;3.047;1.66;-0.87;0.79;
1990;RGI60-08.00449;2768;23.09.1989;03.05.1990;16.09.1990;3.047;1.83;-1.10;0.72;
1991;RGI60-08.00449;2768;16.09.1990;08.05.1991;02.10.1991;3.047;0.98;-1.40;-0.42;
1992;RGI60-08.00449;2768;02.10.1991;03.05.1992;17.09.1992;3.047;1.18;-0.99;0.18;
1993;RGI60-08.00449;2768;17.09.1992;16.04.1993;19.09.1993;3.047;1.26;-0.92;0.34;
